/watch?v=mknNRMAc0Zg&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=28%2C (Kor, Eng) 세바시 686회 나를 위해 살아봅시다 | 연규성 가수, 작사작곡가
/watch?v=bMz2ckG4VGE&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=29%2C 원하는 것을 얻으려면 미쳐야 한다 | 한유정 할리우드 미술총감독 | 동기부여 도전 강연 강의 | 세바시 629회 | (Kor, Rus)
/watch?v=Y-oWM8YInjQ&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=30%2C 청춘 여러분, 아직도 위로가 필요하십니까? | 안준희 매드스퀘어 대표 | 동기부여 도전 강연 강의 | 세바시 235회 (Kor, Eng, Chn)
/watch?v=87wXpvbT5-A&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=31%2C (Kor) 세바시 636회 사랑의 돌봄은 기적을 만든다 | 故 김수지 정서 심리적 약자 지원을 위한 '좋은의자'이사장
/watch?v=3ppXm07eDFw&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=32%2C 당신이 쓰는 모든 글이 카피다 | 정철 카피라이터, 작가 | 인생 강연 강의 추천 듣기 | 세바시 641회
/watch?v=JnQ_aELbkQI&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=33%2C (Kor) 세바시 587회 우리가 행복해야 모두가 행복하다 | 박마루 현 서울시의원, 지체장애인
/watch?v=E_drRaOKQEk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=34%2C (Kor) 세바시 652회 상상, 어디까지 해봤니? 가상현실이 바꾸는 미래 | 이성호 디스트릭트 이사
/watch?v=ufU8kxiEkwg&t=605s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=35%2C (Kor) 세바시 612회 진정한 ‘나’로 살아가는 것 | 주세연 경성대 외래교수
/watch?v=TqggAb53gxw&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=36%2C (Kor, Eng) 세바시 614회 폭력적인 시선에 굴하지 않고 괜찮은 여자로 사는 법 | 곽정은 칼럼니스트
/watch?v=l03KMIGT5Uk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=37%2C (Kor) 세바시 544회 15mins of Fame 혁신가들을 위한 앤디 워홀의 예견 | 김천석 구글코리아 매니저
/watch?v=aWE7t_0OEtY&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=38%2C 너무 바빠서 사랑을 잃어버린 우리에게 | 박신영 ‘기획의 정석’저자, 폴앤마크 이사 | 연애 추천 강연 강의 | 세바시 564회
/watch?v=TexGz7w4Kd4&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=39%2C (Kor) 세바시 605회 나만의 문화를 만들다 | 이소은 Deputy Director, ICC International Court of Arbitration, SICANA
/watch?v=Dd1k0toSfOk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=40%2C 스스로 그러하도록 | 이정화 서예가 | 세바시 598회
/watch?v=Xh6IrVHSmHs&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=41%2C (Kor, Eng) 세바시 642회 집단지성 시대가 요구하는 공부 | 조벽 동국대 석좌교수
/watch?v=d4nKuhap4_0&t=2s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=42%2C (Kor) 세바시 632회 나, 정답을 묻다 | 송길영 다음소프트 부사장
/watch?v=euefb-dITbo&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=43%2C (Kor, Eng) 세바시 610회 상실로부터 나를 지키는 방법 | 전종목 폴앤마크 강사
/watch?v=4OLsMDN8gFA&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=44%2C (Kor, Eng) 세바시 69회 열정, 권태, 그리고 성숙 | 김창옥 서울여대 겸임교수
/watch?v=VS4oLY_DEoc&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=45%2C (Kor) 세바시 607회 뉴욕에서 하는 문화홍보 : 'Seoul' 말고 '서울' | 김휘용 S&C NY 대표
/watch?v=re7PbMUNJLk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=46%2C 어떻게 사람의 마음을 얻을 것인가 | 이철환 작가, '연탄길'저자 | 세바시 584회
/watch?v=7SNGN_stO-o&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=47%2C (Kor, Chn) 세바시 655회 미래를 준비하는 새로운 업무방식, 스마트워크 | 최두옥 베타랩 대표, 스마트워크 디렉터
/watch?v=uNDj3YledkQ&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=48%2C (Kor, Rus) 세바시 545회 내 감정을 책임질 때 찾아오는 자유 | 박재연 리플러스 대화교육 안내자
/watch?v=Nu1nMc3g3Uk&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=50%2C 내가 산, 바다, 하늘에서 배운 것들 | 오현호 부시 파일럿 | 세바시 623회
/watch?v=ozdt_rTL57A&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=51%2C (Kor, Eng, Chn) 세바시 638회 메모, 공부를 바꾸다 | 신정철 '메모습관의 힘' 저자
/watch?v=gn23jd8U6og&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=52%2C (Kor, Eng) [2015 서울인문포럼X세바시] 557회 금융위기의 역사와 그 교훈 | 이동훈 동아쏘시오홀딩스 대표
/watch?v=miJhrWBHhwo&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=53%2C (Kor) 세바시 620회 IT는 왜 인문학을 요구하는가? | 최진기 오마이스쿨 대표
/watch?v=uQenQpjnVZY&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=54%2C (Kor, Eng) 세바시 640회 자유가 없는 나라의 공부 | 이범 교육평론가
/watch?v=az3RmsPeVT0&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=55%2C (Kor, Eng, Chn) 세바시 639회 써먹지 못하는 인문학은 인문학이 아니다 | 윤소정 인재양성소 인큐 대표
/watch?v=myQeHo6IRv8&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=56%2C (Kor, Eng) 세바시 603회 당신도 결국 알게 될 겁니다 | 김창옥 김창옥휴먼컴퍼니 대표
/watch?v=MWldHQdVXJ8&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=57%2C (Kor) 세바시 634회 그림그리기를 포기한 당신에게 | 크리스틴 뉴튼 미술교육자, 아티스트
/watch?v=4vf71p7VnB8&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=58%2C (Kor, Eng) 세바시 229회 나를 브랜딩하라 : 공감이 필요하다 | 홍성태 한양대 교수
